TransactionID,CustomerID,ProductID,Quantity,TransactionDate,PaymentMethod,Revenue,Price,Cost,Profit
T00001,C0415,P0083,3,31-12-2023,UPI,1334.85,444.95,340.91,312.12
T00002,C0614,P0073,3,07-10-2024,Wallet,6614.07,2204.69,1545.72,1976.91
T00003,C0402,P0090,5,07-06-2024,Wallet,30909.4,6181.88,4911.15,6353.65
T00004,C0316,P0026,1,28-09-2024,Credit Card,9540.8,9540.8,8176.8,1364
T00005,C0955,P0055,5,26-03-2024,Credit Card,40949.15,8189.83,6712.22,7388.05
T00006,C0369,P0037,1,03-11-2024,Debit Card,5275.05,5275.05,4013.91,1261.14
T00007,C0925,P0025,1,15-05-2023,UPI,995.5,995.5,787.65,207.85
T00008,C0158,P0030,2,12-01-2024,NetBanking,3230.8,1615.4,1145.79,939.22
T00009,C0254,P0023,1,18-02-2023,Debit Card,4945.33,4945.33,3750.68,1194.65
T00010,C0466,P0094,5,18-06-2023,Wallet,1133.2,226.64,184.09,212.75
T00011,C0301,P0028,2,14-01-2024,UPI,7107.04,3553.52,2852.93,1401.18
T00012,C0366,P0011,1,06-10-2023,Debit Card,7395.54,7395.54,5207.32,2188.22
T00013,C0878,P0062,2,15-04-2023,NetBanking,9301.06,4650.53,3507.75,2285.56
T00014,C0312,P0029,5,04-09-2023,Debit Card,4419.8,883.96,723.51,802.25
T00015,C0347,P0026,1,28-04-2024,NetBanking,9540.8,9540.8,8176.8,1364
T00016,C0861,P0063,3,25-05-2024,Credit Card,29616.21,9872.07,8546.72,3976.05
T00017,C0090,P0017,5,22-03-2024,Credit Card,8571.9,1714.38,1304.38,2050
T00018,C0480,P0020,3,27-07-2023,Debit Card,8678.25,2892.75,2193.42,2097.99
T00019,C0435,P0009,5,06-08-2024,Wallet,5418,1083.6,888.79,974.05
T00020,C0543,P0093,3,08-04-2023,Debit Card,3778.56,1259.52,1073.31,558.63
T00021,C0773,P0038,3,11-10-2023,UPI,2273.01,757.67,545.17,637.5
T00022,C0542,P0006,2,08-03-2024,UPI,13752.76,6876.38,5028,3696.76
T00023,C0751,P0072,2,15-09-2023,Wallet,16577.72,8288.86,6131.63,4314.46
T00024,C0912,P0035,1,18-11-2024,Debit Card,7340.52,7340.52,6556.01,784.51
T00025,C0640,P0067,3,12-02-2023,UPI,28796.34,9598.78,6989.69,7827.27
T00026,C0592,P0043,4,03-06-2023,Wallet,3785.2,946.3,668.92,1109.52
T00027,C0179,P0043,4,26-07-2024,UPI,3785.2,946.3,668.92,1109.52
T00028,C0956,P0049,4,01-06-2023,Debit Card,36347.52,9086.88,7354.39,6929.96
T00029,C0760,P0082,3,22-01-2024,Wallet,29193.54,9731.18,8024.91,5118.81
T00030,C0410,P0024,1,17-02-2024,NetBanking,4652.73,4652.73,3597.83,1054.9
T00031,C0890,P0032,2,28-07-2024,Debit Card,12377.26,6188.63,4543.1,3291.06
T00032,C0648,P0002,1,07-01-2023,Wallet,6858.34,6858.34,6104.9,753.44
T00033,C0929,P0011,1,23-11-2024,Wallet,7395.54,7395.54,5207.32,2188.22
T00034,C0068,P0032,4,14-05-2024,Credit Card,24754.52,6188.63,4543.1,6582.12
T00035,C0299,P0026,4,12-06-2023,Debit Card,38163.2,9540.8,8176.8,5456
T00036,C0686,P0023,5,22-03-2024,NetBanking,24726.65,4945.33,3750.68,5973.25
T00037,C0854,P0046,3,30-01-2024,NetBanking,9694.38,3231.46,2690.2,1623.78
T00038,C0375,P0056,3,15-09-2024,Debit Card,14164.32,4721.44,4175.52,1637.76
T00039,C0229,P0056,1,13-03-2024,NetBanking,4721.44,4721.44,4175.52,545.92
T00040,C0617,P0089,4,02-03-2023,Credit Card,15953.08,3988.27,3499.48,1955.16
T00041,C0341,P0021,2,13-07-2023,Wallet,8931.68,4465.84,3672.58,1586.52
T00042,C0233,P0096,2,10-04-2024,UPI,8758,4379,3497.77,1762.46
T00043,C0517,P0007,4,10-09-2024,Wallet,26479.08,6619.77,4710.74,7636.12
T00044,C0825,P0070,3,18-03-2023,Credit Card,4989.54,1663.18,1492.5,512.04
T00045,C0301,P0072,1,16-05-2024,Credit Card,8288.86,8288.86,6131.63,2157.23
T00046,C0302,P0028,4,11-05-2024,UPI,14214.08,3553.52,2852.93,2802.36
T00047,C0809,P0054,2,11-07-2024,Wallet,14216.16,7108.08,6247.76,1720.64
T00048,C0497,P0070,5,24-11-2024,Credit Card,8315.9,1663.18,1492.5,853.4
T00049,C0999,P0042,1,11-05-2024,NetBanking,5094.48,5094.48,4070.67,1023.81
T00050,C0994,P0081,5,29-08-2023,NetBanking,36658.1,7331.62,6397.72,4669.5
T00051,C0497,P0013,2,23-05-2023,Credit Card,13077.12,6538.56,5665.59,1745.94
T00052,C0670,P0028,2,30-01-2023,Debit Card,7107.04,3553.52,2852.93,1401.18
T00053,C0873,P0048,2,16-04-2023,Wallet,5055.1,2527.55,2032.18,990.74
T00054,C0612,P0095,3,23-11-2024,Credit Card,17701.47,5900.49,5040.16,2580.99
T00055,C0940,P0071,2,19-03-2024,Debit Card,10339.14,5169.57,4417.13,1504.88
T00056,C0540,P0084,2,27-09-2023,UPI,8440.28,4220.14,3007.74,2424.8
T00057,C0355,P0027,5,13-04-2024,NetBanking,38729.7,7745.94,5731.49,10072.25
T00058,C0537,P0030,3,25-06-2024,Wallet,4846.2,1615.4,1145.79,1408.83
T00059,C0072,P0012,3,24-06-2023,Credit Card,9769.29,3256.43,2911.19,1035.72
T00060,C0572,P0065,4,21-06-2024,Debit Card,38581.08,9645.27,7293.63,9406.56
T00061,C0192,P0066,5,23-12-2024,Credit Card,43087.65,8617.53,6967.61,8249.6
T00062,C0572,P0079,3,27-09-2023,NetBanking,22291.83,7430.61,5734.15,5089.38
T00063,C0175,P0004,3,28-08-2024,Debit Card,17061.78,5687.26,4662.03,3075.69
T00064,C0506,P0048,2,14-06-2024,UPI,5055.1,2527.55,2032.18,990.74
T00065,C0912,P0092,3,17-07-2023,Debit Card,1616.52,538.84,454.05,254.37
T00066,C0417,P0014,1,21-12-2024,Debit Card,6752.99,6752.99,5013.88,1739.11
T00067,C0995,P0042,2,27-01-2024,UPI,10188.96,5094.48,4070.67,2047.62
T00068,C0367,P0054,5,06-05-2024,UPI,35540.4,7108.08,6247.76,4301.6
T00069,C0532,P0095,5,23-12-2024,UPI,29502.45,5900.49,5040.16,4301.65
T00070,C0304,P0032,3,03-02-2024,Wallet,18565.89,6188.63,4543.1,4936.59
T00071,C0705,P0042,2,17-07-2024,Wallet,10188.96,5094.48,4070.67,2047.62
T00072,C0231,P0085,3,14-09-2024,Wallet,7016.22,2338.74,1782.58,1668.48
T00073,C0571,P0048,1,20-05-2023,Debit Card,2527.55,2527.55,2032.18,495.37
T00074,C0423,P0082,1,01-09-2023,Debit Card,9731.18,9731.18,8024.91,1706.27
T00075,C0013,P0045,5,01-02-2024,Debit Card,8758.75,1751.75,1316.89,2174.3
T00076,C0953,P0066,1,07-11-2023,UPI,8617.53,8617.53,6967.61,1649.92
T00077,C0247,P0094,3,09-04-2024,NetBanking,679.92,226.64,184.09,127.65
T00078,C0886,P0018,2,10-09-2024,Debit Card,2592.2,1296.1,1043.3,505.6
T00079,C0866,P0055,5,19-12-2023,Debit Card,40949.15,8189.83,6712.22,7388.05
T00080,C0629,P0036,3,22-09-2024,Credit Card,19071.42,6357.14,5477.82,2637.96
T00081,C0054,P0013,5,06-09-2024,Credit Card,32692.8,6538.56,5665.59,4364.85
T00082,C0640,P0096,3,30-07-2024,NetBanking,13137,4379,3497.77,2643.69
T00083,C0615,P0040,4,06-02-2024,Credit Card,23230.44,5807.61,4576.57,4924.16
T00084,C0704,P0067,5,21-11-2024,UPI,47993.9,9598.78,6989.69,13045.45
T00085,C0151,P0028,1,30-04-2024,Wallet,3553.52,3553.52,2852.93,700.59
T00086,C0164,P0083,3,29-08-2023,NetBanking,1334.85,444.95,340.91,312.12
T00087,C0691,P0034,1,06-04-2023,Debit Card,529.62,529.62,471.24,58.38
T00088,C0807,P0008,2,14-11-2024,Credit Card,14954.78,7477.39,6529.52,1895.74
T00089,C0016,P0006,5,07-07-2023,Wallet,34381.9,6876.38,5028,9241.9
T00090,C0108,P0080,4,15-03-2024,Wallet,27807.96,6951.99,5027.5,7697.96
T00091,C0773,P0063,1,01-01-2023,Wallet,9872.07,9872.07,8546.72,1325.35
T00092,C0431,P0020,1,14-10-2024,Credit Card,2892.75,2892.75,2193.42,699.33
T00093,C0025,P0098,5,11-01-2024,Credit Card,28699.3,5739.86,4508.71,6155.75
T00094,C0586,P0040,2,11-05-2023,Debit Card,11615.22,5807.61,4576.57,2462.08
T00095,C0596,P0003,2,05-10-2023,NetBanking,18821.1,9410.55,7965.08,2890.94
T00096,C0090,P0022,1,14-02-2024,UPI,581.93,581.93,423.59,158.34
T00097,C0577,P0024,3,08-04-2024,NetBanking,13958.19,4652.73,3597.83,3164.7
T00098,C0694,P0049,1,01-02-2023,Credit Card,9086.88,9086.88,7354.39,1732.49
T00099,C0236,P0014,4,11-07-2023,Wallet,27011.96,6752.99,5013.88,6956.44
T00100,C0154,P0034,3,13-01-2024,NetBanking,1588.86,529.62,471.24,175.14
T00101,C0358,P0023,4,21-11-2023,NetBanking,19781.32,4945.33,3750.68,4778.6
T00102,C0310,P0043,4,26-03-2024,UPI,3785.2,946.3,668.92,1109.52
T00103,C0903,P0001,4,21-07-2024,Wallet,3258.64,814.66,631.29,733.48
T00104,C0054,P0051,4,16-05-2023,Debit Card,39346.36,9836.59,8793.09,4174
T00105,C0453,P0100,4,26-01-2023,UPI,18592.8,4648.2,3354.04,5176.64
T00106,C0357,P0028,3,01-05-2024,Debit Card,10660.56,3553.52,2852.93,2101.77
T00107,C0147,P0015,4,16-02-2024,UPI,13289.6,3322.4,2446.5,3503.6
T00108,C0960,P0094,2,31-07-2023,Debit Card,453.28,226.64,184.09,85.1
T00109,C0480,P0044,4,05-03-2023,Debit Card,20314.84,5078.71,4478.73,2399.92
T00110,C0384,P0094,4,19-02-2024,UPI,906.56,226.64,184.09,170.2
T00111,C0430,P0083,1,26-05-2023,Credit Card,444.95,444.95,340.91,104.04
T00112,C0779,P0032,2,26-09-2023,Debit Card,12377.26,6188.63,4543.1,3291.06
T00113,C0875,P0004,5,03-10-2024,Credit Card,28436.3,5687.26,4662.03,5126.15
T00114,C0260,P0083,5,16-04-2023,NetBanking,2224.75,444.95,340.91,520.2
T00115,C0449,P0033,5,03-04-2023,Wallet,35515.95,7103.19,5064.65,10192.7
T00116,C0930,P0068,4,19-12-2023,Wallet,21836.4,5459.1,4697.22,3047.52
T00117,C0448,P0019,3,15-02-2023,Wallet,2319.57,773.19,608.03,495.48
T00118,C0957,P0081,1,17-09-2024,UPI,7331.62,7331.62,6397.72,933.9
T00119,C0580,P0092,5,07-09-2024,Debit Card,2694.2,538.84,454.05,423.95
T00120,C0387,P0056,2,22-10-2024,Wallet,9442.88,4721.44,4175.52,1091.84
T00121,C0199,P0041,3,28-03-2024,NetBanking,13584.87,4528.29,3280.33,3743.88
T00122,C0746,P0094,1,06-10-2024,NetBanking,226.64,226.64,184.09,42.55
T00123,C0989,P0071,3,31-10-2023,NetBanking,15508.71,5169.57,4417.13,2257.32
T00124,C0383,P0090,2,16-02-2023,Debit Card,12363.76,6181.88,4911.15,2541.46
T00125,C0364,P0049,2,14-01-2023,Debit Card,18173.76,9086.88,7354.39,3464.98
T00126,C0888,P0069,2,18-12-2023,Credit Card,16447.18,8223.59,5879.13,4688.92
T00127,C0881,P0038,1,12-08-2024,NetBanking,757.67,757.67,545.17,212.5
T00128,C0550,P0082,2,09-05-2024,Wallet,19462.36,9731.18,8024.91,3412.54
T00129,C0256,P0078,1,29-12-2023,Wallet,2931.72,2931.72,2095.62,836.1
T00130,C0148,P0004,4,05-11-2024,UPI,22749.04,5687.26,4662.03,4100.92
T00131,C0101,P0023,4,27-10-2023,NetBanking,19781.32,4945.33,3750.68,4778.6
T00132,C0911,P0055,1,14-11-2023,UPI,8189.83,8189.83,6712.22,1477.61
T00133,C0570,P0017,5,18-12-2023,UPI,8571.9,1714.38,1304.38,2050
T00134,C0553,P0100,2,29-12-2023,Credit Card,9296.4,4648.2,3354.04,2588.32
T00135,C0993,P0003,1,06-01-2023,Debit Card,9410.55,9410.55,7965.08,1445.47
T00136,C0673,P0059,1,07-08-2023,NetBanking,6311.58,6311.58,4475.2,1836.38
T00137,C0473,P0031,1,16-07-2023,NetBanking,1527.12,1527.12,1254.54,272.58
T00138,C0199,P0040,4,18-02-2024,NetBanking,23230.44,5807.61,4576.57,4924.16
T00139,C0199,P0073,5,15-04-2023,Wallet,11023.45,2204.69,1545.72,3294.85
T00140,C0115,P0077,1,02-08-2023,UPI,1679.13,1679.13,1434.4,244.73
T00141,C0785,P0013,2,06-07-2023,NetBanking,13077.12,6538.56,5665.59,1745.94
T00142,C0154,P0039,5,19-07-2024,UPI,25857.9,5171.58,4327.82,4218.8
T00143,C0241,P0029,2,19-12-2023,Credit Card,1767.92,883.96,723.51,320.9
T00144,C0003,P0038,3,05-08-2024,Wallet,2273.01,757.67,545.17,637.5
T00145,C0273,P0091,4,10-10-2023,Credit Card,13230.4,3307.6,2394.43,3652.68
T00146,C0341,P0006,3,06-07-2023,Debit Card,20629.14,6876.38,5028,5545.14
T00147,C0676,P0063,3,12-09-2024,Debit Card,29616.21,9872.07,8546.72,3976.05
T00148,C0423,P0005,1,18-05-2023,NetBanking,7802.64,7802.64,5705.32,2097.32
T00149,C0226,P0040,2,01-11-2023,UPI,11615.22,5807.61,4576.57,2462.08
T00150,C0191,P0074,2,13-08-2024,UPI,5101.2,2550.6,2201.4,698.4
T00151,C0546,P0062,1,23-02-2023,Wallet,4650.53,4650.53,3507.75,1142.78
T00152,C0182,P0060,5,21-10-2023,Debit Card,16260.15,3252.03,2488.02,3820.05
T00153,C0742,P0031,5,19-11-2024,Debit Card,7635.6,1527.12,1254.54,1362.9
T00154,C0776,P0055,1,21-10-2023,UPI,8189.83,8189.83,6712.22,1477.61
T00155,C0701,P0071,1,27-05-2023,Wallet,5169.57,5169.57,4417.13,752.44
T00156,C0108,P0017,1,30-01-2024,Debit Card,1714.38,1714.38,1304.38,410
T00157,C0076,P0060,3,15-08-2024,Debit Card,9756.09,3252.03,2488.02,2292.03
T00158,C0897,P0046,1,13-02-2024,Wallet,3231.46,3231.46,2690.2,541.26
T00159,C0279,P0020,1,20-10-2023,Debit Card,2892.75,2892.75,2193.42,699.33
T00160,C0190,P0067,1,21-04-2023,NetBanking,9598.78,9598.78,6989.69,2609.09
T00161,C0962,P0072,1,03-05-2023,Credit Card,8288.86,8288.86,6131.63,2157.23
T00162,C0968,P0042,4,05-11-2024,Credit Card,20377.92,5094.48,4070.67,4095.24
T00163,C0872,P0095,4,26-06-2023,UPI,23601.96,5900.49,5040.16,3441.32
T00164,C0863,P0094,3,22-07-2023,Credit Card,679.92,226.64,184.09,127.65
T00165,C0001,P0013,2,30-12-2024,Credit Card,13077.12,6538.56,5665.59,1745.94
T00166,C0417,P0079,1,03-09-2024,Wallet,7430.61,7430.61,5734.15,1696.46
T00167,C0669,P0007,1,13-12-2023,UPI,6619.77,6619.77,4710.74,1909.03
T00168,C0187,P0060,4,06-11-2023,UPI,13008.12,3252.03,2488.02,3056.04
T00169,C0662,P0088,3,16-05-2024,Debit Card,14817.03,4939.01,4087.09,2555.76
T00170,C0824,P0058,1,26-10-2023,Debit Card,8161.44,8161.44,6032.91,2128.53
T00171,C0808,P0024,2,29-05-2024,NetBanking,9305.46,4652.73,3597.83,2109.8
T00172,C0297,P0012,1,22-09-2024,UPI,3256.43,3256.43,2911.19,345.24
T00173,C0257,P0011,1,03-02-2023,NetBanking,7395.54,7395.54,5207.32,2188.22
T00174,C0938,P0099,2,07-11-2023,Wallet,544.9,272.45,192.1,160.7
T00175,C0972,P0045,1,01-06-2023,Debit Card,1751.75,1751.75,1316.89,434.86
T00176,C0100,P0029,2,17-01-2024,NetBanking,1767.92,883.96,723.51,320.9
T00177,C0070,P0003,2,10-08-2023,Wallet,18821.1,9410.55,7965.08,2890.94
T00178,C0523,P0030,5,21-04-2023,Debit Card,8077,1615.4,1145.79,2348.05
T00179,C0466,P0056,3,20-06-2023,UPI,14164.32,4721.44,4175.52,1637.76
T00180,C0471,P0099,2,03-10-2024,Wallet,544.9,272.45,192.1,160.7
T00181,C0394,P0014,1,14-08-2024,NetBanking,6752.99,6752.99,5013.88,1739.11
T00182,C0335,P0015,1,01-09-2023,Wallet,3322.4,3322.4,2446.5,875.9
T00183,C0225,P0082,5,23-11-2024,Debit Card,48655.9,9731.18,8024.91,8531.35
